"MAIN","DESCRIPTION","VISIBILITY","PROBABILITY_OF_PRECIPITATION","DATE","HOUR_INTERVAL","TEMP","FEELS_LIKE","TEMP_MIN","TEMP_MAX","PRESSURE","LIST.MAIN.SEA_LEVEL","GRND_LEVEL","HUMIDITY","TEMP_KF","CLOUDS_ALL","WIND_SPEED","WIND_DEG","WIND_GUST","SYS_POD","RAIN_OVER_3H","CITY.NAME","CITY.COORD.LAT","CITY.COORD.LON","CITY.COUNTRY","CITY.POPULATION","CITY.TIMEZONE","CITY.SUNRISE","CITY.SUNSET"
"Clouds","overcast clouds",10000,0,2024-11-04,03:00:00,30.69,34.43,28.95,30.69,1016,1016,1010,61,1.74,100,5.84,45,4.85,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,06:00:00,29.18,31.34,26.15,29.18,1015,1015,1008,60,3.03,84,6.45,32,8.73,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,09:00:00,25.39,25.84,22.74,25.39,1015,1015,1009,71,2.65,62,5.04,19,11.67,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-04,12:00:00,21.94,22.28,21.94,21.94,1015,1015,1009,80,0,38,3.27,358,9.12,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,15:00:00,21.3,21.65,21.3,21.3,1014,1014,1009,83,0,56,3.86,72,6.94,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,18:00:00,20.77,20.99,20.77,20.77,1015,1015,1010,80,0,74,2.46,23,4.67,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-04,21:00:00,22.74,22.95,22.74,22.74,1016,1016,1011,72,0,100,1.71,327,2.79,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-05,00:00:00,30.85,30.72,30.85,30.85,1014,1014,1009,40,0,54,2.55,17,3.88,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-05,03:00:00,30.76,31.04,30.76,30.76,1012,1012,1007,43,0,5,5.94,56,6.01,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","few clouds",10000,0,2024-11-05,06:00:00,26.62,26.62,26.62,26.62,1012,1012,1007,58,0,24,6.38,34,9.04,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Rain","light rain",10000,0.53,2024-11-05,09:00:00,22.92,23.36,22.92,22.92,1014,1014,1009,80,0,53,4.47,51,11.55,"n",0.37,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Rain","light rain",10000,0.3,2024-11-05,12:00:00,22.58,22.85,22.58,22.58,1015,1015,1009,75,0,71,3.8,15,8.93,"n",0.18,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-05,15:00:00,21.3,21.47,21.3,21.3,1015,1015,1009,76,0,94,2.01,349,5.16,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-05,18:00:00,20.33,20.53,20.33,20.33,1015,1015,1009,81,0,73,0.96,343,1.29,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-05,21:00:00,22.17,22.35,22.17,22.17,1016,1016,1011,73,0,99,1.41,9,2.22,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
