"datetime","ROW_ID.x","DATE.x","HOUR_INTERVAL.x","RENTED_BIKE_COUNT","RAINFALL","TEMPERATURE","WIND_SPEED.x","VISIBILITY.x","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","SNOWFALL","ROW_ID.y","MAIN","DESCRIPTION","VISIBILITY.y","PROBABILITY_OF_PRECIPITATION","DATE.y","HOUR_INTERVAL.y","TEMP","FEELS_LIKE","TEMP_MIN","TEMP_MAX","PRESSURE","MAIN_SEA_LEVEL","GRND_LEVEL","HUMIDITY","TEMP_KF","CLOUDS_ALL","WIND_SPEED.y","RAIN","WIND_GUST","SYS_POD","RAIN_OVER_3H","CITY_NAME","CITY_COORD_LAT","CITY_COORD_LON","CITY__COUNTRY","CITY_POPULATION","CITY_TIMEZONE"
"11-04 03:00",26,2018-11-04,"03:00:00",596,0,20.93,0.9,1322,1.77,0,0,121,"Clouds","broken clouds",10000,0,2024-11-04,"03:00:00",17.76,16.77,17.76,18.46,1020,1020,1010,45,-0.7,75,6.03,284,9.72,"d",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 06:00",27,2018-11-04,"06:00:00",881,0,24.82,0.8,865,2.07,0.03,0,122,"Clouds","broken clouds",10000,0,2024-11-04,"06:00:00",17.11,15.97,15.8,17.11,1020,1020,1010,42,1.31,82,5.87,306,8.47,"d",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 09:00",28,2018-11-04,"09:00:00",2342,0,11.29,1.1,724,1.57,1.33,0,123,"Clouds","overcast clouds",10000,0,2024-11-04,"09:00:00",14.16,12.55,12.36,14.16,1021,1021,1011,35,1.8,92,5.69,316,7.16,"n",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 12:00",29,2018-11-04,"12:00:00",4011,0,-1.67,1.93,1414,-0.4,2.08,0,124,"Clouds","overcast clouds",10000,0,2024-11-04,"12:00:00",10.7,8.77,10.7,10.7,1023,1023,1013,36,0,88,4.68,316,6.09,"n",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 15:00",30,2018-11-04,"15:00:00",4865,0,-2.41,2.5,1876,-1,1.03,0,125,"Clouds","overcast clouds",10000,0,2024-11-04,"15:00:00",9.77,9.14,9.77,9.77,1023,1023,1013,39,0,89,1.75,309,2.22,"n",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 18:00",31,2018-11-04,"18:00:00",3592,0,12.04,2.1,1380,4.03,0,0,126,"Clouds","overcast clouds",10000,0,2024-11-04,"18:00:00",9.96,9.33,9.96,9.96,1023,1023,1013,40,0,93,1.78,354,2.55,"n",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-04 21:00",32,2018-11-04,"21:00:00",2569,0,19.63,1.1,967,5.27,0,0,127,"Clouds","overcast clouds",10000,0,2024-11-04,"21:00:00",9.66,9.09,9.66,9.66,1023,1023,1013,44,0,100,1.67,6,2.55,"n",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-05",33,2018-11-05,"00:00:00",1072,0,25.56,0.03,841,5.7,0,0,128,"Clouds","broken clouds",10000,0,2024-11-05,"00:00:00",10.29,8.52,10.29,10.29,1024,1024,1014,44,0,70,1.44,349,1.92,"d",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-05 03:00",34,2018-11-05,"03:00:00",434,0,27.78,0.73,626,5.17,0,0,129,"Clouds","few clouds",10000,0,2024-11-05,"03:00:00",13.22,11.56,13.22,13.22,1022,1022,1012,37,0,11,2.11,315,1.93,"d",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
"11-05 06:00",35,2018-11-05,"06:00:00",3538,0,28.33,0.9,535,4.37,0.04,0,130,"Clouds","scattered clouds",10000,0,2024-11-05,"06:00:00",13.72,12.22,13.72,13.72,1021,1021,1011,41,0,30,4.76,310,4.61,"d",0,"Seoul",37.5683,126.9778,"KR",10349312,32400
