"DATE","HOUR_INTERVAL","RENTED_BIKE_COUNT","RAINFALL","TEMPERATURE","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","SNOWFALL"
2018-11-01,00:00:00,1470,0,17.59,1.77,1947,-1.23,0,0
2018-11-01,03:00:00,543,0,20.56,0.5,1947,-1.43,0,0
2018-11-01,06:00:00,3387,0,23.71,0.53,1630,-1.27,0.04,0
2018-11-01,09:00:00,2559,0,11.29,1.07,1279,-1.3,1.35,0
2018-11-01,12:00:00,2934,0,0.56,2.3,1824,-2.33,2.14,0
2018-11-01,15:00:00,3869,0,0.56,2.03,1975,-1.7,1.11,0
2018-11-01,18:00:00,5084,0,9.07,1.4,1943,0.2,0.01,0
2018-11-01,21:00:00,3118,0,15.18,0.57,1777,0.9,0,0
2018-11-02,00:00:00,1571,0,19.44,0.5,1557,0.9,0,0
2018-11-02,03:00:00,570,0,23.15,0.93,1408,0.87,0,0
2018-11-02,06:00:00,3333,0,23.71,0.93,1286,0.27,0.04,0
2018-11-02,09:00:00,2658,0,10,0.97,1411,-0.1,1.34,0
2018-11-02,12:00:00,3313,0,2.22,1.17,1398,1.2,2.05,0
2018-11-02,15:00:00,4405,0,0.56,1.43,1655,1.53,1.06,0
2018-11-02,18:00:00,5124,0,5.74,1.33,1682,0.5,0.01,0
2018-11-02,21:00:00,3103,0,13.52,1.77,1311,1.83,0,0
2018-11-03,00:00:00,1255,0,17.78,0.67,1252,1.8,0,0
2018-11-03,03:00:00,463,0,21.85,0.87,1129,1.6,0,0
2018-11-03,06:00:00,2264,0,25.18,0.77,927,1.67,0.04,0
2018-11-03,09:00:00,2049,0,9.82,1.2,960,0.8,1.35,0
2018-11-03,12:00:00,2395,0,-1.11,2.07,1327,-0.5,2.09,0
2018-11-03,15:00:00,2999,0,-0.18,1.97,1367,0.33,1.04,0
2018-11-03,18:00:00,3533,0,15.74,1.3,774,5.53,0.01,0
2018-11-03,21:00:00,2287,0,19.63,1.07,825,4.27,0,0
2018-11-04,00:00:00,1615,0,16.48,0.63,1374,1.63,0,0
2018-11-04,03:00:00,596,0,20.93,0.9,1322,1.77,0,0
2018-11-04,06:00:00,881,0,24.82,0.8,865,2.07,0.03,0
2018-11-04,09:00:00,2342,0,11.29,1.1,724,1.57,1.33,0
2018-11-04,12:00:00,4011,0,-1.67,1.93,1414,-0.4,2.08,0
2018-11-04,15:00:00,4865,0,-2.41,2.5,1876,-1,1.03,0
